pais_id,pais,Año,Mes,Faena: Total en cabezas,Participación %: Novillos,Participación %: Hembras,Producción: En miles de toneladas Eq res  c/h,Producción: Peso promedio de la res bovina (Kilo Gancho),Mercado de Liniers: Ingreso Total [Cabezas],Mercado de Liniers: Novillo Precios [$/Kgvivo],Mercado de Liniers: Novillo Precio [US$/Kgvivo],Mercado de Liniers: Novillo Peso Vivo [Kg],Consumo Interno: Aparente en miles de toneladas Eq res  c/h,Consumo Interno: Per Capita (Kg/Habitante/Año),Exportaciones: En toneladas Eq res  c/h,Exportaciones: US$/Ton Eq Res c/h 
32,Argentina,2006,1,1138254,30.19,40.83,258,226,165658,2.37,0.78,487,203,62.41,55324,1956
32,Argentina,2006,2,1007948,28.66,40.55,226,225,141874,2.51,0.82,486,185,63.07,41467,1914
32,Argentina,2006,3,1114299,31.4,36.77,258,231,161694,2.57,0.83,483,194,59.76,63541,1845
32,Argentina,2006,4,878694,26.97,39.38,199,226,128469,2.36,0.77,490,176,55.97,22904,1859
32,Argentina,2006,5,1009348,26.51,40.33,228,226,171246,2.24,0.73,483,222,68.1,7114,3809
32,Argentina,2006,6,1041743,28.94,40.05,239,230,160657,2.12,0.69,482,216,68.39,23933,2771
32,Argentina,2006,7,1081878,30.19,39.75,250,231,143621,2.23,0.72,484,208,63.74,42255,2305
32,Argentina,2006,8,1277126,30.89,41.41,296,232,193720,2.28,0.74,479,236,72.22,60412,2127
32,Argentina,2006,9,1217509,30.17,42.03,280,230,173160,2.25,0.73,475,209,66.17,70858,2173
32,Argentina,2006,10,1253146,26.82,43.94,281,224,175281,2.31,0.75,477,212,64.68,69331,2144
32,Argentina,2006,11,1270595,25.11,45.65,282,222,153472,2.48,0.81,480,211,66.55,70999,2071
32,Argentina,2006,12,1124620,21.34,47.95,239,213,90944,2.38,0.78,480,203,61.9,36919,2263
32,Argentina,2007,1,1222573,25.47,46.2,269,220,98632,2.33,0.75,486,235,71.58,33993,2462
32,Argentina,2007,2,1085812,25.22,45.46,237,219,87305,2.35,0.76,491,208,70.16,29604,2361
32,Argentina,2007,3,1176370,26.08,44.38,257,218,98050,2.36,0.76,485,221,67.36,35585,2465
32,Argentina,2007,4,1103249,23.89,46.76,237,215,89411,2.41,0.78,474,199,62.38,38764,2202
32,Argentina,2007,5,1209901,24.04,47.35,261,216,101432,2.73,0.89,475,220,66.92,41643,2298
32,Argentina,2007,6,1202138,23.82,48.19,263,219,143257,2.66,0.87,476,222,69.63,41671,2307
32,Argentina,2007,7,1300901,24.27,48.05,284,218,155993,2.58,0.83,479,230,69.76,54555,2093
32,Argentina,2007,8,1381501,24.03,48.95,300,217,166965,2.65,0.84,477,235,71.31,64780,2164
32,Argentina,2007,9,1171053,23.92,47,249,213,129425,2.74,0.86,473,199,62.25,50379,2509
32,Argentina,2007,10,1387410,21.29,48.15,291,210,156527,2.86,0.91,479,239,72.43,51682,2512
32,Argentina,2007,11,1423321,22.46,48.76,304,214,158728,2.97,0.95,481,247,77.28,57144,2566
